record_id,indicator,agency,release_date,reference_period,point_in_time_safe,quality_issues,historical_consensus_available
4f777bc2d7409605,NFP,BLS,2023-10-06,September 2023,True,,False
024795cd19997ad5,UNEMPLOYMENT_RATE,BLS,2023-10-06,September 2023,True,,False
52bd6190e689d156,CORE_CPI,BLS,2023-10-12,September 2023,True,,False
74af0e57666553ed,CPI,BLS,2023-10-12,September 2023,True,,False
9b5c8ceef2e58cb2,GDP,BEA,2023-10-26,Q3 2023 — Advance Estimate,True,,False
c2047719041a781f,ISM_MANUFACTURING_PMI,ISM,2023-11-01,October 2023,True,,False
65e1a1d06f966c48,NFP,BLS,2023-11-03,October 2023,True,,False
74de5e90a1c9f595,UNEMPLOYMENT_RATE,BLS,2023-11-03,October 2023,True,,False
6befef8fefdb8138,CORE_CPI,BLS,2023-11-14,October 2023,True,,False
9ccd5a4736830459,CPI,BLS,2023-11-14,October 2023,True,,False
54cc60aa5774e5ca,GDP,BEA,2023-11-29,Q3 2023 — Second Estimate,True,,False
63301619eece9940,ISM_MANUFACTURING_PMI,ISM,2023-12-01,November 2023,True,,False
4b0526d26011aca9,NFP,BLS,2023-12-08,November 2023,True,,False
e24df1fa09045199,UNEMPLOYMENT_RATE,BLS,2023-12-08,November 2023,True,,False
4ee97f8e151e9d78,CORE_CPI,BLS,2023-12-12,November 2023,True,,False
d89e066befda3418,CPI,BLS,2023-12-12,November 2023,True,,False
910cbbb23badc8a7,GDP,BEA,2023-12-21,Q3 2023 — Third Estimate,True,,False
847278b25c95fb20,ISM_MANUFACTURING_PMI,ISM,2024-01-03,December 2023,True,,False
d9ddbf9e08f36781,NFP,BLS,2024-01-05,December 2023,True,,False
d0705e7bc35a9b99,UNEMPLOYMENT_RATE,BLS,2024-01-05,December 2023,True,,False
a37cf39ea37bb8c8,CORE_CPI,BLS,2024-01-11,December 2023,True,,False
7263a81e06f6cf16,CPI,BLS,2024-01-11,December 2023,True,,False
d107b7cbbc724cfa,NFP,BLS,2024-02-02,January 2024,True,,False
1d8b21ab2616e654,UNEMPLOYMENT_RATE,BLS,2024-02-02,January 2024,True,,False
b397db7d27d4625c,CORE_CPI,BLS,2024-02-13,January 2024,True,,False
c62c42780095ed58,CPI,BLS,2024-02-13,January 2024,True,,False
d4c5994014237f8d,NFP,BLS,2024-03-08,February 2024,True,,False
5deb37d89cd1f3f5,UNEMPLOYMENT_RATE,BLS,2024-03-08,February 2024,True,,False
0b1cb63b6f77f7e2,CORE_CPI,BLS,2024-03-12,February 2024,True,,False
97eb8d8fd29228fd,CPI,BLS,2024-03-12,February 2024,True,,False
d761c8552e0a38c4,NFP,BLS,2024-04-05,March 2024,True,,False
8ee07d54875344b7,UNEMPLOYMENT_RATE,BLS,2024-04-05,March 2024,True,,False
7b2d354c0b58ff49,CORE_CPI,BLS,2024-04-10,March 2024,True,,False
1fbb99c266ccd729,CPI,BLS,2024-04-10,March 2024,True,,False
5ef1190e6ab1d226,GDP,BEA,2024-04-25,Q1 2024 — Advance Estimate,True,,False
7dddd2cce0810b16,NFP,BLS,2024-05-03,April 2024,True,,False
0e9d319e967836be,UNEMPLOYMENT_RATE,BLS,2024-05-03,April 2024,True,,False
6bf701e6b29bb8bf,CORE_CPI,BLS,2024-05-15,April 2024,True,,False
000dd22e2f97a9f8,CPI,BLS,2024-05-15,April 2024,True,,False
193c7ad6dc69f6f3,GDP,BEA,2024-05-30,Q1 2024 — Second Estimate,True,,False
85a8ba5c07314a2c,NFP,BLS,2024-06-07,May 2024,True,,False
37bbf49b828263a5,UNEMPLOYMENT_RATE,BLS,2024-06-07,May 2024,True,,False
a9e54188f65d294e,CORE_CPI,BLS,2024-06-12,May 2024,True,,False
2ea4b37d593604f3,CPI,BLS,2024-06-12,May 2024,True,,False
46a8a8c6596fdb10,GDP,BEA,2024-06-27,Q1 2024 — Third Estimate,True,,False
352694f11d6aaf8d,NFP,BLS,2024-07-05,June 2024,True,,False
59a996dbbc3688a5,UNEMPLOYMENT_RATE,BLS,2024-07-05,June 2024,True,,False
4215ca77d3db1957,CORE_CPI,BLS,2024-07-11,June 2024,True,,False
4568e31d3575ddfd,CPI,BLS,2024-07-11,June 2024,True,,False
28b7f1268af9341c,GDP,BEA,2024-07-25,Q2 2024 — Advance Estimate,True,,False
0f777b432f40fb03,NFP,BLS,2024-08-02,July 2024,True,,False
ba8f86989a64c9fc,UNEMPLOYMENT_RATE,BLS,2024-08-02,July 2024,True,,False
2f04857f39901d32,CORE_CPI,BLS,2024-08-14,July 2024,True,,False
c9765a5b5d5754bc,CPI,BLS,2024-08-14,July 2024,True,,False
1c0f5726b66c9ef7,GDP,BEA,2024-08-29,Q2 2024 — Second Estimate,True,,False
ebdccb526c9ae04c,NFP,BLS,2024-09-06,August 2024,True,,False
c0a30ab8b6549da7,UNEMPLOYMENT_RATE,BLS,2024-09-06,August 2024,True,,False
924f65a3225e4fc6,CORE_CPI,BLS,2024-09-11,August 2024,True,,False
4aed3292e418a791,CPI,BLS,2024-09-11,August 2024,True,,False
130b592dc91bb768,GDP,BEA,2024-09-26,Q2 2024 — Third Estimate,True,,False
a0ec26c12d1243ea,NFP,BLS,2024-10-04,September 2024,True,,False
470518b4f1dec26e,UNEMPLOYMENT_RATE,BLS,2024-10-04,September 2024,True,,False
9f53cdb09d2b2799,CORE_CPI,BLS,2024-10-10,September 2024,True,,False
5b75ea76d2b3bbc8,CPI,BLS,2024-10-10,September 2024,True,,False
6ac381139fa879cc,GDP,BEA,2024-10-30,Q3 2024 — Advance Estimate,True,,False
00a1eebaefbbe9a2,NFP,BLS,2024-11-01,October 2024,True,,False
539f1d2a615408f7,UNEMPLOYMENT_RATE,BLS,2024-11-01,October 2024,True,,False
fb501ad594e1eb8d,CORE_CPI,BLS,2024-11-13,October 2024,True,,False
9a7bb6dd901553a2,CPI,BLS,2024-11-13,October 2024,True,,False
